"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"9706","ENSG00000153707",2853.02150696095,1.32252846136031,2.34541808005606e-06,4.34778798138619e-05,"PTPRD"
"9719","ENSG00000153822",22.8430126632627,1.84886596520033,0.000109204097727854,0.00107047586259912,"KCNJ16"
"9760","ENSG00000154133",740.64401883525,1.43614496991181,1.23681816028307e-10,9.42116411837953e-09,"ROBO4"
"9793","ENSG00000154342",1419.37949350485,2.18943107146851,3.29971331329873e-10,2.24560081539051e-08,"WNT3A"
"9813","ENSG00000154553",958.63559678445,1.59511205714997,1.03643858653084e-08,4.49502815880977e-07,"PDLIM3"
"9888","ENSG00000155265",28.2657272555952,2.41857591179506,3.44984552620282e-08,1.22756029156945e-06,"GOLGA7B"
"9908","ENSG00000155465",893.610840073697,1.44757390701079,5.78285617660192e-08,1.89470610886656e-06,"SLC7A7"
"9953","ENSG00000155926",633.844717893486,1.39336235716564,3.93710110882876e-05,0.000461429172017695,"SLA"
"9978","ENSG00000156113",662.034487949429,2.31965043541755,8.61262344483173e-11,6.82128659403332e-09,"KCNMA1"
"9979","ENSG00000156127",129.707767658227,1.19244371336357,2.81690654488617e-05,0.000350409765609528,"BATF"
"9991","ENSG00000156222",176.075076572242,1.09014599674786,7.13171959120985e-05,0.00075259201255763,"SLC28A1"
"10019","ENSG00000156466",755.716702974422,1.26061333889357,7.54671823364298e-05,0.000788896229982909,"GDF6"
"10023","ENSG00000156475",311.602182767956,2.01573717870627,2.41593511998555e-10,1.69805725576127e-08,"PPP2R2B"
"10058","ENSG00000156804",802.982346215328,1.07109397410462,4.19611354948984e-10,2.8110214251627e-08,"FBXO32"
"10107","ENSG00000157193",6918.5582599028,-1.22306909582077,3.18810584625474e-05,0.000389279620850475,"LRP8"
"10150","ENSG00000157554",655.671140285554,1.00609751806782,1.49219060200567e-05,0.000205241174827654,"ERG"
"10305","ENSG00000158813",125.146193282659,1.94466785367519,5.62733128070427e-09,2.66384016398259e-07,"EDA"
"10367","ENSG00000159261",161.826191684573,-1.33421104284185,3.56873209466081e-07,8.70584985704503e-06,"CLDN14"
"10383","ENSG00000159387",26.8384536151529,1.35900234215174,0.00770445104239239,0.0336622484618257,"IRX6"
"10386","ENSG00000159399",11601.5782903873,-1.48824771159884,0.000185539359944268,0.00164066213042056,"HK2"
"10446","ENSG00000160013",187.426149896522,1.36088004763523,1.38161604503802e-05,0.00019170162156117,"PTGIR"
